"PSC.0228"	"PSC.0187"	"PSC.0188"	"PSC.0174"	"PSC.0190"	"PSC.0231"	"PSC.0230"	"PSC.0219"	"PSC.0177"	"PSC.0186"	"PSC.0209"	"PSC.0203"
"g13092.t1"	40	117	57	51	19	48	299	209	185	224	131	163
"g15488.t1"	37	11	19	3	0	5	14	6	0	0	0	14
"g995.t1"	0	0	0	5	0	0	3	0	0	0	0	0
"g7730.t1"	6909	4143	3280	6348	6515	2853	3620	2782	3884	1715	2025	964
"g14230.t1"	196499	56515	51682	61610	222097	193774	1133	599	1739	342	621	1295
"g8245.t1"	4	38	0	41	4	103	8	0	0	0	0	0
"g11012.t1"	10	65	26	15	0	18	9	3	0	0	4	9
"g4480.t1"	59	122	164	234	74	82	3322	2062	1936	2628	1484	1180
"g5827.t1"	203	27	18	8	1	166	13	20	10	41	0	7
"g18098.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g19618.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g24008.t1"	887	191	201	216	107	357	277	157	408	159	205	125
"g15316.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g15316.t2"	0	0	0	0	0	0	0	0	0	0	0	0
"g997.t1"	0	3	2	0	0	0	10	0	0	0	0	0
"g3613.t1"	6162	2876	2802	4004	4316	4090	2591	1729	1687	1908	2095	1536
"g20186.t1"	34	27	24	9	0	51	19	8	0	0	0	29
"g23959.t1"	170	115	95	69	104	128	122	97	62	106	154	71
"g10558.t1"	78	100	61	60	30	28	136	156	125	186	107	138
"g1946.t1"	80	165	156	20	35	70	196	127	81	217	60	99
"g8550.t1"	1183	617	1447	263	515	717	2069	497	227	642	3145	917
"g8695.t2"	0	29	73	0	1	15	99	108	0	155	0	22
"g8695.t1"	58	21	3	53	18	33	94	105	180	48	197	45
"g18939.t1"	0	17	0	4	3	3	254	8	136	58	11	269
"g6525.t1"	6	44	27	17	12	18	98	37	25	76	0	16
"g19223.t1"	0	22	13	0	0	7	11	0	13	21	0	11
"g11761.t2"	5	10	0	2	8	18	11	0	0	0	0	1
"g5015.t1"	90	77	104	83	44	85	353	290	243	380	155	312
"g11761.t1"	8	31	4	3	7	70	61	0	0	0	0	13
"g14463.t1"	0	0	2	0	0	0	16	0	0	0	0	0
"g14463.t2"	28	29	28	0	0	10	68	21	22	37	73	41
"g21964.t1"	0	0	0	0	0	0	0	0	0	0	0	0
"g18738.t1"	1141	635	485	733	297	1960	672	424	382	579	884	472
"g23391.t1"	2	41	0	0	0	0	9	12	26	10	0	12
"g278.t2"	155	126	243	22	25	114	133	129	53	99	114	134
"g278.t1"	0	0	0	0	0	19	14	0	5	7	74	0
"g11763.t1"	52	44	63	100	46	6	75	102	74	68	22	107
"g11763.t2"	4	9	6	4	5	1	11	26	3	7	0	7
